id,time,noticia,sentiment
0,atletico-mg,"A disputa entre Cuiabá e Atlético-MG por valores envolvendo o atacante Deyverson ganhou novos desdobramentos nesta semana. Após a denúncia feita pelo Cuiabá ao Banco Central, alegando inadimplência por parte dos empresários Rubens Menin e Ricardo Guimarães — donos de bancos e também da holding que controla a SAF do Atlético-MG — o Banco Central respondeu oficialmente, estabelecendo o prazo até o dia 3 de junho para que os envolvidos se manifestem sobre o caso. A denúncia foi baseada no entendimento do Cuiabá de que, como Menin (Banco Inter) e Guimarães (Banco BMG) são controladores de instituições financeiras, a suposta falta no pagamento de valores devidos ao clube mato-grossense poderia configurar uma infração grave sob a ótica do sistema financeiro. Vale lembrar que essa informação sobre o caso foi publicada no dia 19 de maio, quando o Cuiabá levou a situação ao Banco Central . No dia seguinte (20/5), o Atlético-MG respondeu, tratando a denúncia como ""imprópria"" e acusando o Cuiabá de tentar cobrar valores indevidos na negociação de Deyverson . + Cuiabá denuncia dono da SAF do Atlético-MG no Banco Central por dívidas com clubes + Atlético-MG trata denuncia do Cuiabá como ""imprópria"" e diz que clube cobra ""valores indevidos"" por Deyverson + ""Grupo vai crescer junto"": Guto vê amadurecimento do Cuiabá após reencontro com a vitória Agora, com a resposta do Banco Central em mãos, o caso avança para uma nova fase. Há ainda a possibilidade de que o Banco Inter solicite a prorrogação do prazo para apresentar sua defesa. A expectativa gira em torno da postura que a instituição adotará até o vencimento do prazo oficial, o que poderá influenciar diretamente os próximos passos da disputa entre os clubes. O cenário segue em aberto e com potencial para gerar impactos além do futebol, envolvendo o sistema financeiro e os órgãos reguladores. + Ex-Seleção Brasileira, Tânia Maranhão é demitida do Ação e desabafa: ""Forma desrespeitosa"" + Crise interna: Pedrinho se desentende com companheiros e é suspenso pela diretoria do Cuiabá + Trio de jogadores da categoria de base assina primeiro contrato profissional com o Cuiabá",negative
1,atletico-mg,"Fala, galera! O time das Dicas Econômicas está de olho no duelo entre Ceará e Atlético-MG , no Castelão. Considerando as últimas seis rodadas do Cartola 2025, o confronto coloca o terceiro melhor mandante frente ao quarto melhor visitante. Portanto, são cinco indicações dessa partida no esquadrão de baixo custo. Escale seu time! O mercado fica aberto até sábado, às 18h29 (de Brasília) . Clique aqui e escale seu time! + Quanto vale a pontuação de cada scout no Cartola? + Seja PRO por R$ 4,99 ao mês para brilhar no Cartola! + Confira a playlist de vídeos do Cartola Esta matéria será atualizada até o dia do fechamento do mercado caso a escalação acima sofra alguma alteração. O banco de reservas das Dicas Econômicas foi preenchido com jogadores que têm boas chances de valorização. Os scouts abaixo são dos jogos do Cartola 2025. Matheus Bahia (lateral do Ceará) - C$ 10.16: média de 10.82 nos quatro jogos em casa, com três SG's, uma assistência, 13 desarmes, cinco faltas recebidas e três finalizações. Lucas Mugni (meia do Ceará) - C$ 8.74: média de 11.80 nos últimos dois jogos em casa, com um gol, uma assistência, seis desarmes, três faltas recebidas e uma FF. Léo Condé (técnico do Ceará) - C$ 8.81: nas últimas seis rodadas, o Ceará tem a terceira melhor média geral mandante (80.80) e a segunda melhor média mandante de defesa (50.33). Natanael (lateral do Atlético-MG) - C$ 8.89: média de 16.30 nos dois últimos jogos fora, com dois SG's, 12 desarmes, três FF's, uma FF e uma falta recebida. Rubens (meia do Atlético-MG) - C$ 8.28 : média de 8.77 nos últimos quatro jogos fora, com 19 desarmes, cinco faltas recebidas, duas FD's e quatro FF's. Marcos Felipe (goleiro do Bahia) - C$ 7.28: média de 8.63 nos três jogos em casa, com dois SG's e 13 defesas. Erick Pulga (atacante do Bahia) - C$ 9.28 : média de 10.50 nos últimos quatro jogos em casa, com dois gols, uma assistência, nove desarmes, 11 faltas recebidas e cinco FF's. Cacá (zagueiro do Corinthians) - C$ 6.52: fez 5.80 no último jogo em casa, com um SG e um FF. Edson Carioca (atacante do Mirassol) - C$ 7.26: média de 10.10 nos três jogos em casa, com dois gols, outras seis finalizações, uma assistência, dois desarmes e quatro faltas recebidas. Léo Ortiz (zagueiro do Flamengo) - C$ 6.64: média de 8.46 nos últimos três jogos em casa, com três SG's, quatro desarmes, uma trave, duas FF's e duas faltas recebidas. Lucas Romero (meia do Cruzeiro) - C$ 8.17: média de 7.42 nos últimos quatro jogos em casa, com um gol, uma assistência, 10 desarmes, sete faltas recebidas e uma FF. Sábado, 31/05 18h30 - Bahia x São Paulo 21h00 - Vasco x Bragantino Domingo, 01/06 11h00 - Mirassol x Sport 16h00 - Santos x Botafogo 16h00 - Juventude x Grêmio 18h30 - Flamengo x Fortaleza 18h30 - Corinthians x Vitória 18h30 - Ceará x Atlético-MG 19h30 - Cruzeiro x Palmeiras 20h30 - Internacional x Fluminense",neutral
2,atletico-mg,"Atlético-MG e Cienciano entram em campo nesta quinta-feira, às 21h30 (de Brasília), na Arena MRV, em Belo Horizonte decidindo a liderança do Grupo H da Conmebol Sul-Americana . O ge acompanha em Tempo Real (clique aqui para seguir). Veja também: + Confira a tabela completa da Copa Sul-Americana O Atlético precisa da vitória para se classificar na liderança do grupo às oitavas de final da Sul-Americana. Se empatar, o Galo avança em segundo lugar e vai disputar os playoffs contra os terceiros colocados da Libertadores. Em caso de derrota, o time do técnico Cuca tem chance remota de ser eliminado. Para isso, o Caracas precisaria de uma goleada de mais de seis gols diante do Deportes Iquique, para sonhar com a classificação. Em décimo lugar no Campeonato Peruano, o Cienciano vem de goleada por 6 a 1 diante do Universidad Tecnica. A equipe de Cusco lidera o Grupo H da Sul-Americana com nove pontos, com duas vitórias e três empates em cinco jogos. O treinador tem a possibilidade de repetir o time em relação ao jogo com o Corinthians, no último final de semana. Bernard, que estava com uma virose, participou normalmente do último treino. Time provável: Everson; Natanael, Lyanco, Júnior Alonso e Rubens; Alan Franco, Patrick e Scarpa; Bernard (Igor Gomes), Rony e Hulk. + Mais notícias do Atlético Para assegurar a primeira colocação do grupo, o time peruano contra com a boa fase do meia-atacante Christian Cueva. O jogador, que teve passagens por São Paulo e Santos no futebol brasileiro, marcou gols e deu quatro assistências nos últimos oito jogos do Cienciano. O jogo na Arena MRV pode ser um dos últimos de Cueva pelo clube. Isso porque, de acordo com a imprensa peruana, o Emelec, do Equador, prepara uma oferta para contar com o atleta no segundo semestre. Time provável: Barrios; Estrada, Amondarain e Valoyes; Romagnoli, Santiago Arias, Torrejón e Danilo Ortiz; Gentile, Cueva e Beto da Silva (Noronha).",neutral
3,atletico-mg,"O meia-atacante Bernard foi a grande novidade no último treino do Atlético-MG antes de encarar o Cienciano-PER na quinta-feira, às 21h30, na Arena MRV, pela última rodada da fase de grupos da Copa Sul-Americana. Na terça-feira, Bernard ficou fora do treino por conta de uma forte gripe. Com o retorno, a possibilidade é de que ele siga no time, sem trocas no meio-campo. Cuca tem a chance de repetir a mesma equipe que enfrentou o Corinthians, no último final de semana. Igor Gomes é quem briga por uma vaga com Bernard, com Júnior Santos correndo por fora. Provável Atlético: Everson; Natanael, Lyanco, Júnior Alonso e Rubens; Alan Franco, Patrick e Scarpa; Bernard (Igor Gomes), Rony e Hulk. O Cieniano-PER é o líder do grupo H da Copa Sul-Americana. O Galo precisa de uma vitória simples para terminar na liderança e garantir uma vaga direta nas oitavas de final da competição. O time peruano joga pelo empate para confirmar a primeira colocação. Já o Alvinegro, em caso de empate, fica na segunda posição, jogando os playoffs.",neutral
4,bahia,"Durou dois minutos o sonho do Bahia em avançar às oitavas de final da Libertadores. O Tricolor, que tanto lutou para voltar à competição, que por três rodadas esteve tão perto da classificação em um grupo para muitos visto como ""o da morte"", caiu mais uma vez pelos próprios erros. E com requintes de crueldade, já que mal conseguiu saborear o gol de Jean Lucas, ao ver Vitinho anotar o empate alguns minutos depois e Borré dar números finais ao 2 a 1 no Beira-Rio [ assista aos melhores momentos acima ]. Ficou clara a falta de experiência do Tricolor para gerenciar a vantagem no placar durante a primeira fase. O Bahia também saiu na frente em jogos cruciais contra Inter e Nacional, mas sofreu a virada em dois deles e em outro acabou sofrendo um empate amargo jogando em casa. E tudo isso cobrou o seu preço na última quarta-feira. O apito final mostrou o Bahia com 65% de posse de bola e 88% de precisão nos 577 passes trocados no Beira-Rio. O time tricolor não abriu mão de seu estilo mesmo quando se viu na beira do precipício. Por um lado, um mérito para quem acredita que essa é a identidade que vai colocar o Tricolor no caminho das grandes conquistas. Por outro, uma estratégia que não foi suficiente para seguir vivo na Libertadores. O Bahia teve mais posse de bola em cinco dos seis jogos da fase de grupos, só venceu dois e foi o time que menos marcou gols. Números que comprovam a falta de eficiência do time nos dois lados do campo. Bahia e Inter fizeram uma partida eliminatória disfarçada de fase de grupos na Libertadores. O calendário mostrava mais um dos 12 jogos válidos pelo Grupo F, mas todos os ingredientes do encontro no Beira-Rio faziam parte do cardápio das decisões nas noites continentais: tensão, transpiração e poucas chances. Tanta tensão deixou os jogadores no limite do erro e puxou o nível da partida para baixo . O Bahia cometeu mais falhas que de costume, sofreu muitos desarmes no campo de defesa e viu o Inter ficar com a maioria das segundas bolas. O Tricolor até manteve o estilo de posse de bola, mas esteve longe de replicar as boas atuações de outros momentos da temporada. O primeiro tempo acabou com 64% de posse e duas finalizações, nenhuma no gol. O time encaixou apenas um contra-ataque, mas viu Jean Lucas finalizar para fora. O medo de errar no primeiro tempo deu lugar à vontade de acertar no começo da segunda etapa. Foram seis finalizações certas do Bahia nos 45 minutos finais. A bola na rede veio na terceira tentativa, com Jean Lucas pisando dentro da área do Inter para aproveitar o rebote de Anthoni. A vantagem no placar seria uma arma com potencial de mudar a história do jogo, mas o Bahia sequer teve tempo de usar isso a seu favor . O empate do Inter veio na saída de jogo, dois minutos depois do Tricolor abrir o placar, após um bate e rebate que teve David Duarte afastando mal a bola. + Atuações do Bahia: David Duarte e Mingo vão mal em eliminação para o Internacional; dê sua nota No segundo gol do Inter, o zagueiro também erra na saída de bola, mas o lance ainda segue com marcação frouxa de Michel Araujo e depois com Ramos Mingo perdendo duelo aéreo para Borré. A virada do Inter veio sem muita pressão, em um momento de equilíbrio da partida, cenário que predominou durante os 90 minutos. O Bahia cai, portanto, na Libertadores com três derrotas nos últimos três jogos disputados. Para quem somou sete pontos nas primeiras partidas (e poderia ter nove não fosse um empate amargo para o Inter), fica a justa frustração pela queda de produção no final da campanha. Por outro lado, o desempenho em um grupo com três equipes com larga experiência na competição não pode ser desprezado. Fica a frustração, mas a sensação de que o time não fez feio. Longe disso. O desafio agora é saciar o desejo do torcedor tricolor que, sem dúvida, vai querer repetir a dose de Libertadores.",
5,bahia,"O Bahia perdeu de virada, por 2 a 1 com o Internacional, na noite desta quarta-feira, e se despediu da Libertadores. Jean Lucas abriu o placar para o Esquadrão, mas Vitinho e Borré viraram e deram a classificação para o Colorado. Eliminado da Libertadores, o Bahia vai disputar o playoff da Copa Sul-Americana. O time volta a campo neste sábado, quando encara o São Paulo, na Casa de Apostas Arena Fonte Nova, pela 11ª rodada do Campeonato Brasileiro, às 18h30 (de Brasília).",negative
6,bahia,"O Bahia perdeu por 2 a 1 , para o Internacional, na noite desta quarta-feira, e foi eliminado na Libertadores. O Tricolor abriu o placar com Jean Lucas, mas Vitinho e Borré anotaram para os donos da casa [assista aos melhores momentos no vídeo acima] . O Bahia fez um jogo equilibrado com o Inter e teve grande chance com Jean Lucas no primeiro tempo, mas o meio-campista chutou para fora. Na etapa final, o jogador tricolor não desperdiçou ao pegar rebote dentro da área aos oito minutos. O Tricolor, contudo, sustentou a vantagem por apenas dois minutos e viu Vitinho deixar tudo igual em finalização dentro da área. Abalado com o empate, o Bahia ainda viu o Inter marcar o segundo gol com Borré, aos 31 minutos, aproveitando vacilo de Ramos Mingo dentro da área [assista aos gols no vídeo abaixo] . Apesar da eliminação, o Bahia segue em uma competição internacional, já que vai disputar o playoff da Copa Sul-Americana. O time volta a campo neste sábado, quando encara o São Paulo, na Casa de Apostas Arena Fonte Nova, pela 11ª rodada do Campeonato Brasileiro, às 18h30 (de Brasília).",negative
7,bahia,"A noite foi de despedida da Libertadores para o Bahia , que perdeu por 2 a 1 para o Internacional , no Beira-Rio, na noite desta quarta-feira, pela última rodada da fase de grupos. O Tricolor abriu o placar com Jean Lucas, mas Vitinho e Borré viraram para os donos da casa. Na entrevista para a Conmebol e Paramount após a partida, o meia Everton Ribeiro fez um balanço do desempenho do Bahia, que voltava à Libertadores após 35 anos. - Acredito que fizemos uma boa Libertadores. Expectativa por fazer bons jogos. Infelizmente os erros em um torneio assim cobram caro. Erros não só individuais como coletivos. Experiência que a gente não gostaria de passar. Acho que depois de um tempo fora, colocar o Bahia aqui foi um passo. É seguir nos nossos objetivos e trazer o Bahia para essa competição ano que vem. Com o resultado, o Tricolor fechou a competição na terceira posição, com oito pontos, e vai disputar o playoff da Copa Sul-Americana. - Fica esse consolo para a gente. Temos que seguir firmes e continuar nos campeonatos que temos pela frente - concluiu Everton Ribeiro. Everton Ribeiro volta a campo com o Bahia neste sábado, quando o Tricolor recebe o São Paulo, na Casa de Apostas Arena Fonte Nova, pela 11ª rodada do Campeonato Brasileiro.",negative
8,bahia,"De volta a uma competição internacional, o Bahia vai ter uma temporada de 2025 de alta expectativa. Por isso, é fundamental ter um elenco competitivo para não passar o sufoco que a queda de rendimento provocou na reta final de 2024. O ge , então, reuniu as principais informações sobre chegadas e saídas do Tricolor.",neutral
9,bahia,"Agora você pode acompanhar a cobertura do ge também pelos Canais do WhatsApp. Entre nos Canais específicos de Bahia e Vitória e ative a notificação para ser avisado das principais notícias publicadas sobre a dupla Ba-Vi. É só escolher um dos canais listados abaixo e clicar . Além dos Canais de Bahia e Vitória, você pode seguir também o Canal do ge para ficar por dentro de tudo o que acontece em tempo real. Ative também o sininho no canto superior direito da tela para receber notificações assim que as novas notícias forem postadas.",neutral
