,time,noticia
0,atletico-mg,"O meia-atacante Dudu esteve na Cidade do Galo nesta segunda-feira, para passar por exames médicos e realizar testes físicos antes de iniciar os treinos com elenco. Ele é o primeiro reforço do clube para a janela do meio do ano. Após ser anunciado pelo clube, Dudu tirou uns dias de férias e viajou para fora do país. No domingo, acompanhou a vitória do Galo diante do Fluminense e visitou o grupo no vestiário. A expectativa, agora, é quando o meia-atacante vai trabalhar normalmente com o elenco. Ele só poderá estrear pelo Atlético a partir do dia dois de junho, na reabertura da janela de transferências. Dudu rescindiu contrato com o Cruzeiro no início de maio e foi anunciado pelo Galo na última terça-feira. O vínculo do jogador vai até o fim de 2027. O contrato é válido até o fim de 2027. Era debatido um vínculo até dezembro de 2026, com a possibilidade de ser prorrogado. Contudo, o acordo foi fechado em três anos. Dudu aceitou reduzir o salário que recebia do ex-clube, mas não quis abrir mão da duração do vínculo, seguindo os mesmos moldes firmados com o Cruzeiro."
1,atletico-mg,"O torcedor do Atlético-MG matou a saudade da Arena MRV com fortes emoções. De virada, o Atlético-MG bateu o Fluminense nos minutos finais, por 3 a 2, no jogo de reabertura do estádio, que ficou fechado para obras de melhorias nos últimos cinco meses. A reforma da Arena custou cerca de R$ 20 milhões, com troca do gramado, ganho de acústica, reforço na segurança e mudanças na arquibancada. O ge listou as principais novidades encontradas pelos torcedores atleticanos na volta à casa. O primeiro gol na grama sintética não foi atleticano. O uruguaio Canobbio, do Fluminense, foi quem inaugurou as redes do novo tapete da Arena MRV. Pelo lado do Galo, Rubens foi quem marcou pela primeira vez no novo gramado ao empatar a partida. Júnior Santos e Igor Gomes foram os outros atletas do Galo a balançar as redes. Na saída de campo, os jogadores e o técnico Cuca elogiaram o novo gramado, porém falaram que levará um tempo para se adaptar ao campo sintético. ""Tenho certeza que vai ser uma grande arma para a gente (o gramado sintético), que por sinal ficou muito bom, mas requer tempo para adaptar"", disse Hulk. O material de parte da cobertura do estádio foi trocado. Foram instaladas placas de alumínio para aumentar a reverberação do som da torcida nos jogos, o que era uma queixa dos torcedores na última temporada. O som de fato está melhor, mais ""limpo"" e o estádio ouve com clareza o que a torcida canta. O estádio segue com o sistema chamado ""Voice Lift"", com intuito de amplificar o barulho feito pela torcida. Após o jogo, o meia Gustavo Scarpa disse que notou a melhora do som da Arena. ""Os gritos estavam mais em harmonia... os dois lados estavam se ouvindo. Melhorou, foi legal voltar aqui na Arena"". A Arena já contava com 351 câmeras e dois drones para monitoramento interno e externo do estádio. Agora, o clube informou que instalou mais câmeras, de altíssima resolução, que permitem o reconhecimento facial do torcedor. A tecnologia gerou resultado neste domingo. A assessoria da Arena informou que identificou um torcedor que acendeu uma bomba na arquibancada através das câmeras de segurança de alta resolução. O torcedor foi preso e com ele ainda foram encontradas mais quatro bombas. A punição também está maior. Ele não poderá volta ao estádios nos próximos 365 dias. Outras bombas foram encontradas com torcedores na entrada da esplanada e eles foram bloqueados de entrar no estádio. As novas catracas do estádio foram outra novidade na parte de segurança. A partir de agora, a catraca usada é no modelo ‘torniquete’, nas quais passam somente um torcedor por vez. A Arena agora tem um novo espaço sem cadeiras: setor Inter Sul superior. O clube colocou cadeiras no setor sul inferior — local destinado para uma das organizadas, e realocou para a parte de cima. Ao todo, foram retiradas cerca de sete mil cadeiras do setor Inter Sul superior. O setor ainda ganhou uma nova cara, com um desenho escolhido pela torcida via votação."
2,atletico-mg,"Os argentinos do Estudiantes de La Plata soltaram o grito de campeão no fim de semana no interior de Minas Gerais. A equipe goleou o rival River Plate po r 5 a 0 e conquistou a Copa Futam Internacional, em São João del Rei. Os gols da equipe argentina na partida disputada na tarde deste domingo foram marcados por Santino Crego (2), Juan Caggiano, Maurício Suárez e Francisco Acosta. O Estudiantes teve uma campanha quase impecável na competição, com quatro vitórias, um empate e apenas uma derrota, para o Vasco, ainda na primeira fase, por 1 a 0. Os brasileiros pararam nas semifinais da competição . O Atlético-MG perdeu nos pênaltis para o próprio Estudiantes , após empate por 1 a 1 no tempo normal. Já o Vasco foi goleado pelo River Plate por 5 a 0 e deu adeus ao torneio. O Santos não passou para as semifinais da Série Ouro – entre os dois melhores colocados de cada grupo – e foi eliminado nas semifinais da Série Prata pelo GFI Academy, dos Estados Unidos : 1 a 0. E Esporte Clube Bonfim, de São João del Rei venceu os norte-americanos na decisão e ficou com o caneco na Série Prata. O Racing-URU foi eliminado da Copa Futam ao fim da primeira fase. A equipe uruguaia foi punida em razão de um suposto caso de injúria racial de um atleta do time platino contra um jogador do Atlético-MG. A organização da competição determinou a exclusão do time uruguaio, que sequer disputou as semifinais da Série Prata."
3,atletico-mg,"De ""time sem vergonha"" a ""o Galo é o time da virada"" em segundos. Uma montanha-russa de emoções na vitória do Atlético-MG por 3 a 2, em cima do Fluminense, na Arena MRV. O que caminhava para ser trágico, foi mágico. Na estreia do gramado sintético, o Galo somou três pontos na raça em um jogo de um tempo só. Cuca surpreendeu ao retornar com Lyanco e Alan Franco. A dupla se recuperou de lesão e esteve em campo entre os titulares. Natanael e Cuello também voltaram em relação à equipe que começou contra o Iquique no meio de semana. O primeiro tempo na Arena MRV foi desanimador. Apenas 4 finalizações do Galo e uma do Fluminense. As emoções ficaram para etapa final com cinco gols e duas viradas. Em falha de Lyanco, o Fluminense abriu o placar aos 10 minutos. Após o gol, o time de Cuca tentou agredir, mas dependia muito das jogadas pelas beiradas. Scarpa esteve bem marcado, e Cuello não conseguiu emplacar boas jogadas. Bernard entrou no lugar de Fausto Vera, e Júnior Santos na vaga de Natanael. Era o Atlético ainda mais ofensivo. Vinte minutos depois começou a ecoar das arquibancadas um coro uníssono: ""Vergonha, time sem vergonha"" . No momento em que subiu o tom de protesto da torcida, Rubens acertou um chute de rara felicidade de fora da área, que marcou a virada de chave do Atlético. Não demorou para os gritos mudarem para ""o Galo é o time da virada"". (veja vídeo abaixo) Cuca mexeu mais uma vez e colocou Igor Gomes na vaga de Rony. A pressão alvinegra aumentou com o apoio da torcida, Hulk teve chance, mas Thiago Silva foi mais rápido. O camisa 7 tem ainda participação no gol da virada. Ele finalizou forte, e Fábio não segurou. No rebote, Júnior Santos só empurrou para as redes aos 38 minutos. Era a virada alvinegra. A euforia deu novamente lugar a frustração com o empate do Fluminense quatro minutos depois. Poderia ter sido o fim da entrega do Atlético em campo. A torcida ensaiou, de novo, um grito de protesto nas arquibancadas. Mas, o time da virada agiu novamente. Hulk bateu uma sequência de três escanteios seguidos na primeira trave para enfim achar Igor Gomes, que cabeceou para o gol e garantiu de vez os três pontos já nos acréscimos do jogo. Euforia, explosão e sinergia entre a torcida e o time retomada. Ao fim da partida, os jogadores caíram em campo exaustos (veja vídeo abaixo) . Houve também muita comemoração do grupo praticamente inteiro no gramado. Todo mundo estava consciente da reposta que precisava dar depois da dura derrota para o Iquique no meio de semana. Mais que isso! Vencer na estreia do gramado sintético da Arena MRV. O resultado dá moral para o que vem pela frente. O time de Cuca tem jogo importante da Sul-Americana na quinta-feira e precisa vencer pensando na classificação. O Caracas também tem 5 pontos no embolado Grupo H. E no Brasileirão um clássico pela frente, contra o Cruzeiro, no Mineirão, no domingo que vem, às 20h30. O Galo tem uma das semanas mais importantes do ano até aqui e chega forte e vingador!"
4,atletico-mg,"Após a vitória do Atlético-MG contra o Fluminense por 3 a 2, pelo Campeonato Brasileiro, o técnico Cuca ressaltou a evolução da equipe, mas alertou sobre o elenco. Com mudanças no time, o treinador fez questão de relembrar que o Galo está em reconstrução. - Nós estamos em fase de reconstrução do time, e ainda não definida, mas o caminho é assim. É duro, difícil, mas é saboroso, porque quando você tem uma vitória igual a hoje, às vezes ela significa mais do que você fazer um 3 a 0. E acho que o desempenho foi muito satisfatório, dentro do que se pode jogar, jogamos com uma equipe igual a gente, o Fluminense tem uma grande equipe. E valorizou muito a nossa vitória."" Com a terceira vitória conquistada no Campeonato Brasileiro, Cuca elogiou a melhora da equipe na competição. Com isso, o treinador também pediu para que o torcedor confie no trabalho que o time vem fazendo. - E a gente sai muito feliz com a vitória, eu acho que super merecida. Dos últimos 12 pontos que a gente disputou no Campeonato Brasileiro, fizemos 10. Ganhamos do Botafogo, empatamos com o Mirassol, ganhamos do Juventude e hoje. Então as coisas estão se encaminhando, já estamos em sexto lugar. ""Peço que confiem na gente, confiem no trabalho e no que a gente está fazendo. A gente vai ter coisas boas ainda esse ano, se Deus quiser. Ao falar do elenco, Cuca relembrou sobre a quantidade de mudanças na equipe e o tempo que se leva para adaptação. O treinador ainda citou a possível chegada de reforços, podendo mudar ainda mais o estilo da equipe. Ele também fez questão de relembrar que o Atlético está vivo em todas as competições. - Esssa equipe que está aqui nesse ano de 2025, saíram 15 jogadores no final do ano e chegaram 10, agora com Dudu, 11. Você não tem como já ter um conjunto, um entrosamento e estar jogando o que o torcedor espera. Se você ainda não finalizou a tua equipe, ainda tem peças por vir, na segunda janela para você ficar mais fortalecido. Então, dentro de todas essas mudanças e vindo jogadores de diversas características, nós ganhamos um mineiro e estamos vivos nos dois torneios mata-mata, Copa do Brasil e Sul-Americana, e demos uma recuperada boa no Brasileiro. Durante a análise da partida contra o Fluminense, Cuca citou que a vitória relembrou a de 2012, quando Ronaldinho estava na equipe alvinegra, já que ambos os jogos foram de virada e ficaram 3 a 2. Relembre no vídeo abaixo . O Atlético volta à campo nesta quinta-feira, contra o Caracas, pela Conmebol Sul-Americana, às 21h30 (de Brasília), na Arena MRV. Pelo Brasileirão, o Galo tem o clássico com o Cruzeiro, no domingo, às 20h30 (de Brasília), no Mineirão."
5,atletico-mg,"""Ser jogador de futebol requer um psicológico muito forte"" . Após vencer o Fluminense por 3 a 2, de virada, essas foram as palavras do atacante Hulk para enaltecer a força mental do Atlético-MG , que buscou a vitória nos minutos finais na reabertura da Arena MRV. A torcida atleticana protestava contra o time na metade do segundo tempo, quando o Galo conseguiu a virada sobre o Fluminense. Pouco depois, o time sofreu o empate, e os torcedores começaram a reclamar novamente. Só que o Atlético-MG encontrou força, marcou no fim e garantiu a vitória. Hulk destacou o psicológico do elenco. - Por isso que o futebol é o que é. Por isso que nós, jogadores, somos privilegiados de ter uma profissão que a gente tanto se orgulha, que mexe tanto com o ser humano em questão de alguns minutos, segundos. Ser elogiado, glorificado e no passar de segundo, ser vaiado, criticado. ""Sem desmerecer nenhuma profissão, pelo contrário, a gente tem que reconhecer e respeitar todas as profissões, mas ser jogador de futebol requer um psicológico muito forte, porque mesmo diante das várias críticas, você tem que buscar a energia que está lá no fundo, aqueles 30% a mais que você sabe que você pode buscar, mesmo quando você está cansado"". Com a vitória sobre o Fluminense, o Atlético ocupa a sexta colocação com 12 pontos, após oito rodadas do Brasileirão."
6,bahia,"De volta a uma competição internacional, o Bahia vai ter uma temporada de 2025 de alta expectativa. Por isso, é fundamental ter um elenco competitivo para não passar o sufoco que a queda de rendimento provocou na reta final de 2024. O ge , então, reuniu as principais informações sobre chegadas e saídas do Tricolor."
7,bahia,"Ainda não foi desta vez que o técnico Rogério Ceni venceu a primeira partida diante do Flamengo . Na noite deste sábado, o Bahia perdeu por 1 a 0 , e o treinador ampliou o jejum diante da equipe carioca para 16 partidas. Arrascaeta anotou o gol do confronto válido pela oitava rodada da competição (assista acima aos melhores momentos). Em campo, Rogério Ceni fez uma série mudanças na escalação do Bahia de olho no jogo desta quarta-feira, contra o Atlético Nacional, pela Libertadores. - As escolhas têm relação com quarta-feira e com o elenco que foi montado. Não seria fácil com o Flamengo aqui de maneira alguma. A gente teve a lesão do Ademir, os dois laterais-direitos estão machucados, o Erick suspenso, e o Nico já tinha jogado como lateral. Acho até que ele fez a função bem. O Rezende entrou no meio de campo para o lugar do Nico e nos ajudou com a altura. E hoje com o Lucho para tentar ter mais energia e pressionar um pouco mais. No começo do jogo suportamos bem a pressão, com exceção do lance do gol. Fomos apertados na saída de jogo, tentamos bolas longas, acho que fomos nos acertando dentro do jogo. Uma pena, um jogo importante, assim como também serão os próximos - disse Ceni na entrevista coletiva. ""Pela primeira vez na temporada perdemos dois jogos seguidos, mas tivemos que arriscar para ter o time melhor fisicamente na quarta-feira"", completa. Rogério Ceni também comentou o incômodo jejum contra o Flamengo, com 16ª derrota em 16 jogos como técnico diante dos cariocas. - (Incomoda) muito. Incomoda bastante sim. É extremamente desagradável. Mostra a força que o Flamengo tem. Incomoda qualquer profissional não vencer. Vamos trabalhar para no jogo de volta colocar fim nessa estatística. O jogo contra Atlético Nacional está marcado para as 19h (de Brasília) desta quarta-feira, na Colômbia. O Bahia lidera o seu grupo e pode se classificar antecipadamente se vencer a partida. Lucho em má fase - Acho que é um jovem, tem 21 anos. Vinha realmente muito bem, acho que é natural essa oscilação. É um menino que trabalha muito todos os dias, a ausência do gol é que chama atenção. Vamos ter calma, é um garoto, um pouco de paciência . É um cara que a gente acredita muito. Quando ele fizer o próximo gol as coisas vão voltar ao normal. É um cara que não deixa de lutar nunca, as coisas vão voltar ao normal. Não aproveitou a expulsão no final - O árbitro segurou muitos minutos no chão e não teve coragem de dar mais minutos depois de levantar a placa. Mais ou menos 60% desse tempo foi de jogo parado. E também porque quando teve a expulsão a gente não tinha mais trocas. Os jogadores estavam cansados. Até tivemos uma escapada, uma finalização, mas depois de correr 85 minutos atrás do Flamengo a gente já estava cansado. Aí ainda tem o lance do VAR que dá aquela esfriada no jogo, que é tradicional quando quando precisa aqui no Maracanã. Dá aquela tranquilizada. Depois o jogador cai, e o juiz não dá mais acréscimo, tudo dentro dos padrões como é. Comportamento tático do Bahia - Juba joga de lateral-esquerdo. Jean joga de volante pela esquerda, e o Iago foi atacante pela esquerda. Então faz sentido estar os três próximos pelo lado esquerdo. Estranho seria um deles pelo outro lado. Hoje foi um lado mais forte nosso, de projeção para chegar na frente. Dentro de nossa ideia era ter mais triangulações por ali. Mas sobre os três estarem do lado esquerdo, está de maneira correta, foi assim que escalamos. Calendário do futebol brasileiro - Nós estamos jogando desde o dia 23 de janeiro sem nenhuma folga de meio ou fim de semana. Tivemos Pré-Libertadores e Copa do Nordeste. Infelizmente temos que cumprir calendário de televisão. Quem paga o futebol é a TV. Não importa muito para quem transmite se o jogo é de qualidade, se o gramado é de qualidade. O que importa é ter o jogo para transmitir. Então o que a gente tenta é qualificar o elenco, o que gera um custo maior para os clubes. Tentamos atender as confederações, que são quem pagam os salários. Estamos trabalhando para encontrar times, rodar os jogadores e tentar diminuir as lesões. O Flamengo hoje perdeu dois jogadores no primeiro tempo. Elenco do Bahia é curto? - Que carro você anda todo dia? A vida é desse jeito. Arrecadação e gasto. Todo mundo queria ter os melhores jogadores, mas é a lei da vida. Cada um gostaria de morar em uma casa melhor, maior. Eu não acho que o elenco é curto. Acho que as lesões atrapalharam. Você nunca pensa que vai perder todos da mesma posição. Perder os dois laterais e o terceiro jogador que faz a função estar suspenso. A tendência é a cada ano crescer. Não é possível crescer de uma hora para outra. Às vezes ter um jogador de melhor qualidade, dois ou três a mais, pode valer 30 ou 40 milhões de euros. Será que a gente arrecada hoje para ter esse custo a mais? Aqui as pessoas tentam fazer as coisas de maneira equilibrada. - Estamos trabalhando, tentando ter energia para cada jogo. Colocamos mais energia para o jogo de quarta-feira, o que não é garantia que vamos vencer. Uma viagem de 6h30, depois volta, tem jogo contra o Vitória. Eu gostaria de ter uma casa melhor, mais tempo livre, passear mais. Mas tudo tem seu tempo. Não é o elenco que é curto. Uma posição ou outra pode faltar alguma coisa, que com o tempo vai ser corrigido. Não dá para fazer tudo ao mesmo tempo. Por que Kauã Davi não joga mais? - É um menino nota dez, trabalha todos os dias. Na minha opinião o Erick me entrega mais que ele. Gilberto e Arias, que são da posição, também. O Nico, com mais experiência, está mais preparado para esse jogo. Se eu coloco um garoto contra o Flamengo aqui todo mundo iria reclamar também. O Kauã é um menino bom, precisa de mais tempo, é uma avaliação que fazemos diariamente. Nico nos ajudou bastante, foi uma adaptação, assim como seria o Kauã."
8,bahia,"A derrota por 1 a 0 para o Flamengo , na noite deste sábado, no Maracanã, ampliou o tabu do técnico Rogério Ceni diante da equipe carioca para 16 derrotas em 16 jogos. Ceni segue, portanto, sem nunca ter vencido o Rubro-Negro desde que passou a ser treinador em 2017. Ao longo da história do confronto, as equipes treinadas por Rogério Ceni balançaram as redes seis vezes , com 31 gols sofridos . A derrota também ampliou a sequência negativa do Bahia , que chegou a 12 derrotas nos últimos 12 compromissos diante do Flamengo. A última vitória foi em abril de 2019, no triunfo por 3 a 0 na Casa de Apostas Arena Fonte Nova. Fora de casa, o Tricolor também não vence os cariocas há 12 partidas ou desde 2011. A derrota deste sábado ainda encerrou a sequência de três vitórias seguidas do Bahia no Campeonato Brasileiro. O time agora está na sexta posição, com 12 pontos, a cinco dos cariocas, que subiram para a liderança. Com o jogo desta noite, Rogério Ceni chegou a seis jogos contra o Flamengo defendendo as cores do Bahia. A equipe baiana e o São Paulo são os clubes que Ceni mais enfrentou os cariocas como técnico. Clubes treinados por Ceni contra o Flamengo: Com o tabu mantido, Rogério Ceni direciona as atenções para a Libertadores. Nesta quarta-feira, o Tricolor encara o Atlético Nacional, na Colômbia, pela quinta rodada da competição."
9,bahia,"O Bahia perdeu por 1 a 0 para o Flamengo , na noite deste sábado, e teve encerrada a sequência de três vitórias seguidas no Campeonato Brasileiro. Arrascaeta anotou o gol do confronto disputado no Maracanã, válido pela oitava rodada da competição (assista acima) . O jogo teve o Bahia sofrendo pressão do Flamengo até Arrascaeta abrir o placar de cabeça, após cruzamento de Michael. O Tricolor teve como grande oportunidade uma jogada de Kayke que terminou em defesa de Rossi no primeiro tempo (assista abaixo aos melhores momentos). O Bahia volta a campo nesta quarta-feira, quando vai até a Colômbia para enfrentar o Atlético Nacional em jogo decisivo da Libertadores . A partida começa às 19h (de Brasília)."
