,time,noticia
0,atletico-mg,"Atlético-MG e Cienciano entram em campo nesta quinta-feira, às 21h30 (de Brasília), na Arena MRV, em Belo Horizonte decidindo a liderança do Grupo H da Conmebol Sul-Americana . O ge acompanha em Tempo Real (clique aqui para seguir). Veja também: + Confira a tabela completa da Copa Sul-Americana O Atlético precisa da vitória para se classificar na liderança do grupo às oitavas de final da Sul-Americana. Se empatar, o Galo avança em segundo lugar e vai disputar os playoffs contra os terceiros colocados da Libertadores. Em caso de derrota, o time do técnico Cuca tem chance remota de ser eliminado. Para isso, o Caracas precisaria de uma goleada de mais de seis gols diante do Deportes Iquique, para sonhar com a classificação. Em décimo lugar no Campeonato Peruano, o Cienciano vem de goleada por 6 a 1 diante do Universidad Tecnica. A equipe de Cusco lidera o Grupo H da Sul-Americana com nove pontos, com duas vitórias e três empates em cinco jogos. O treinador tem a possibilidade de repetir o time em relação ao jogo com o Corinthians, no último final de semana. Bernard, que estava com uma virose, participou normalmente do último treino. Time provável: Everson; Natanael, Lyanco, Júnior Alonso e Rubens; Alan Franco, Patrick e Scarpa; Bernard (Igor Gomes), Rony e Hulk. + Mais notícias do Atlético Para assegurar a primeira colocação do grupo, o time peruano contra com a boa fase do meia-atacante Christian Cueva. O jogador, que teve passagens por São Paulo e Santos no futebol brasileiro, marcou gols e deu quatro assistências nos últimos oito jogos do Cienciano. O jogo na Arena MRV pode ser um dos últimos de Cueva pelo clube. Isso porque, de acordo com a imprensa peruana, o Emelec, do Equador, prepara uma oferta para contar com o atleta no segundo semestre. Time provável: Barrios; Estrada, Amondarain e Valoyes; Romagnoli, Santiago Arias, Torrejón e Danilo Ortiz; Gentile, Cueva e Beto da Silva (Noronha)."
1,atletico-mg,"O meia-atacante Bernard foi a grande novidade no último treino do Atlético-MG antes de encarar o Cienciano-PER na quinta-feira, às 21h30, na Arena MRV, pela última rodada da fase de grupos da Copa Sul-Americana. Na terça-feira, Bernard ficou fora do treino por conta de uma forte gripe. Com o retorno, a possibilidade é de que ele siga no time, sem trocas no meio-campo. Cuca tem a chance de repetir a mesma equipe que enfrentou o Corinthians, no último final de semana. Igor Gomes é quem briga por uma vaga com Bernard, com Júnior Santos correndo por fora. Provável Atlético: Everson; Natanael, Lyanco, Júnior Alonso e Rubens; Alan Franco, Patrick e Scarpa; Bernard (Igor Gomes), Rony e Hulk. O Cieniano-PER é o líder do grupo H da Copa Sul-Americana. O Galo precisa de uma vitória simples para terminar na liderança e garantir uma vaga direta nas oitavas de final da competição. O time peruano joga pelo empate para confirmar a primeira colocação. Já o Alvinegro, em caso de empate, fica na segunda posição, jogando os playoffs."
2,atletico-mg,"Antes de uma partida internacional, é normal o adversário, de outro país, treinar no centro de treinamento do time da cidade. O Cienciano, do Peru, por uma questão de logística, optou por trabalhar um campo de fut7, em Belo Horizonte. A atividade foi em preparação para o jogo diante do Atlético-MG na quinta-feira, na Arena MRV, pela última rodada da fase de grupos da Copa Sul-Americana. A equipe peruana chegou ao Brasil na terça-feira. Por conta de um atraso na logística do treino, não fez a atividade no centro de treinamento do Cruzeiro, que não possui iluminação para trabalhos noturnos. Pela noite, o clube escolheu uma quadra de fut7, localizada próxima da lagoa da Pampulha, para realizar um trabalho regenerativo, de recuperação da viagem. O espaço é particular e qualquer pessoa pode reservar para jogar bola. O piso é sintético, assim como o da Arena MRV, mas com outro tipo de material, sem ter tanta semelhança. Veja as fotos abaixo. Nesta quarta, na véspera do confronto, a preparação foi finalizada na Toca da Raposa. O Cieniano-PER é o líder do grupo H da Copa Sul-Americana. Na quinta-feira, a equipe visita o Atlético, segundo colocado. O Alvinegro precisa de uma vitória simples para terminar na liderança e garantir uma vaga direta nas oitavas de final da competição. O time peruano joga pelo empate para confirmar a primeira colocação. Já o Alvinegro, em caso de empate, fica na segunda posição, jogando os playoffs."
3,atletico-mg,"O carimbo de “atleta da base” assombrou Rubens nos últimos anos de time principal do Atlético-MG . Não só pela torcida, mas internamente. Em 2025, o lateral - volante - meia mudou esse panorama e aparece como o jogador de linha com mais jogos pelo clube na temporada. Mas quase que isso não ocorreu. Cria do Galo, Rubens já igualou o número de gols da temporada mais artilheira da carreira com oito jogos a menos. Foi titular em 23 dos 28 jogos que esteve em campo. Marcou três gols e anotou três assistências. A sequência de partidas supera a de 2023 — quando o meia conviveu com uma lesão que o deixou quatro meses longe dos gramados. Naquele momento, Rubens era visto como um jogador da base, que necessitava de minutos, e ainda não estava pronto para ser titular. Essa chave virou para 2025. — Muita gente me via como o garoto que subiu da base, nunca como um profissional. Essa virada de chave foi importante. Eu me sentia incomodado, sim, com esse olhar. Sempre me olhavam como o Rubinho da base. Em até alguns momentos, dentro do clube mesmo, com algumas pessoas. — Agora, eles me enxergam como homem. É importante isso, de ter mais minutagem. Eu nunca tive uma sequência grande assim. Está sendo diferente, uma responsabilidade maior. No fim do ano passado, Rubens marcou o gol da permanência do Atlético na elite do futebol brasileiro. Após a última rodada, o jogador deixou claro o desejo de ser utilizado mais por dentro, pelo meio , e não tanto na lateral esquerda. No início deste ano, o ge apurou que o Grêmio se mostrou bastante interessado e apresentou uma proposta para contar com o jogador. Rubens nega que tenha chegado qualquer coisa e ele. Mas admite que uma conversa com Cuca foi essencial para que ele seguisse no clube. Caso ela não ocorresse, e chegasse algo, ele pensaria em uma possível saída. - Sobre respirar novos ares, como saíram aquelas coisas do Grêmio, para mim, nunca chegou nada. Nunca teve conversa. — Tive uma conversa com o Cuca antes do Grêmio (a notícia ser publicada). Me disse que me daria mais oportunidades por dentro. E foi importante. Creio que, se chegasse algo, era de se pensar, para não ficar mais um ano sendo sombra, jogando pouco. A palavra dele foi essencial. Aos 23 anos, Rubens tem sido assunto para a próxima janela de transferência. Cuca já falou do problema que seria uma possível perda do meia . Hoje, não existe nenhuma proposta pelo jogador. Mas o sonho de atuar na Europa é real. Contudo, o meia não coloca um prazo para isso acontecer. — Todo jogador tem o sonho de jogar fora. É meu sonho, Seleção e Europa. Não fico pensando nisso. Meu foco é total no Atlético. Não chegou nada para mim. Se chegar algo, vou analisar, ver se o Atlético vai querer. Se for para ficar, também serei feliz. - É um plano de vida. Querendo ou não, pensamos em fazer nossa vida. Ter o sonho de jogar lá, na Premier League. Espero que um dia aconteça, no momento certo."
4,bahia,"O Bahia perdeu de virada, por 2 a 1 com o Internacional, na noite desta quarta-feira, e se despediu da Libertadores. Jean Lucas abriu o placar para o Esquadrão, mas Vitinho e Borré viraram e deram a classificação para o Colorado. Eliminado da Libertadores, o Bahia vai disputar o playoff da Copa Sul-Americana. O time volta a campo neste sábado, quando encara o São Paulo, na Casa de Apostas Arena Fonte Nova, pela 11ª rodada do Campeonato Brasileiro, às 18h30 (de Brasília)."
5,bahia,"O Bahia perdeu por 2 a 1 , para o Internacional, na noite desta quarta-feira, e foi eliminado na Libertadores. O Tricolor abriu o placar com Jean Lucas, mas Vitinho e Borré anotaram para os donos da casa [assista aos melhores momentos no vídeo acima] . O Bahia fez um jogo equilibrado com o Inter e teve grande chance com Jean Lucas no primeiro tempo, mas o meio-campista chutou para fora. Na etapa final, o jogador tricolor não desperdiçou ao pegar rebote dentro da área aos oito minutos. O Tricolor, contudo, sustentou a vantagem por apenas dois minutos e viu Vitinho deixar tudo igual em finalização dentro da área. Abalado com o empate, o Bahia ainda viu o Inter marcar o segundo gol com Borré, aos 31 minutos, aproveitando vacilo de Ramos Mingo dentro da área [assista aos gols no vídeo abaixo] . Apesar da eliminação, o Bahia segue em uma competição internacional, já que vai disputar o playoff da Copa Sul-Americana. O time volta a campo neste sábado, quando encara o São Paulo, na Casa de Apostas Arena Fonte Nova, pela 11ª rodada do Campeonato Brasileiro, às 18h30 (de Brasília)."
6,bahia,"A noite foi de despedida da Libertadores para o Bahia , que perdeu por 2 a 1 para o Internacional , no Beira-Rio, na noite desta quarta-feira, pela última rodada da fase de grupos. O Tricolor abriu o placar com Jean Lucas, mas Vitinho e Borré viraram para os donos da casa. Na entrevista para a Conmebol e Paramount após a partida, o meia Everton Ribeiro fez um balanço do desempenho do Bahia, que voltava à Libertadores após 35 anos. - Acredito que fizemos uma boa Libertadores. Expectativa por fazer bons jogos. Infelizmente os erros em um torneio assim cobram caro. Erros não só individuais como coletivos. Experiência que a gente não gostaria de passar. Acho que depois de um tempo fora, colocar o Bahia aqui foi um passo. É seguir nos nossos objetivos e trazer o Bahia para essa competição ano que vem. Com o resultado, o Tricolor fechou a competição na terceira posição, com oito pontos, e vai disputar o playoff da Copa Sul-Americana. - Fica esse consolo para a gente. Temos que seguir firmes e continuar nos campeonatos que temos pela frente - concluiu Everton Ribeiro. Everton Ribeiro volta a campo com o Bahia neste sábado, quando o Tricolor recebe o São Paulo, na Casa de Apostas Arena Fonte Nova, pela 11ª rodada do Campeonato Brasileiro."
7,bahia,"De volta a uma competição internacional, o Bahia vai ter uma temporada de 2025 de alta expectativa. Por isso, é fundamental ter um elenco competitivo para não passar o sufoco que a queda de rendimento provocou na reta final de 2024. O ge , então, reuniu as principais informações sobre chegadas e saídas do Tricolor."
8,bahia,"Agora você pode acompanhar a cobertura do ge também pelos Canais do WhatsApp. Entre nos Canais específicos de Bahia e Vitória e ative a notificação para ser avisado das principais notícias publicadas sobre a dupla Ba-Vi. É só escolher um dos canais listados abaixo e clicar . Além dos Canais de Bahia e Vitória, você pode seguir também o Canal do ge para ficar por dentro de tudo o que acontece em tempo real. Ative também o sininho no canto superior direito da tela para receber notificações assim que as novas notícias forem postadas."
9,bahia,"Durou dois minutos o sonho do Bahia em avançar às oitavas de final da Libertadores. O Tricolor, que tanto lutou para voltar à competição, que por três rodadas esteve tão perto da classificação em um grupo para muitos visto como ""o da morte"", caiu mais uma vez pelos próprios erros. E com requintes de crueldade, já que mal conseguiu saborear o gol de Jean Lucas, ao ver Vitinho anotar o empate alguns minutos depois e Borré dar números finais ao 2 a 1 no Beira-Rio [ assista aos melhores momentos acima ]. Ficou clara a falta de experiência do Tricolor para gerenciar a vantagem no placar durante a primeira fase. O Bahia também saiu na frente em jogos cruciais contra Inter e Nacional, mas sofreu a virada em dois deles e em outro acabou sofrendo um empate amargo jogando em casa. E tudo isso cobrou o seu preço na última quarta-feira. O apito final mostrou o Bahia com 65% de posse de bola e 88% de precisão nos 577 passes trocados no Beira-Rio. O time tricolor não abriu mão de seu estilo mesmo quando se viu na beira do precipício. Por um lado, um mérito para quem acredita que essa é a identidade que vai colocar o Tricolor no caminho das grandes conquistas. Por outro, uma estratégia que não foi suficiente para seguir vivo na Libertadores. O Bahia teve mais posse de bola em cinco dos seis jogos da fase de grupos, só venceu dois e foi o time que menos marcou gols. Números que comprovam a falta de eficiência do time nos dois lados do campo. Bahia e Inter fizeram uma partida eliminatória disfarçada de fase de grupos na Libertadores. O calendário mostrava mais um dos 12 jogos válidos pelo Grupo F, mas todos os ingredientes do encontro no Beira-Rio faziam parte do cardápio das decisões nas noites continentais: tensão, transpiração e poucas chances. Tanta tensão deixou os jogadores no limite do erro e puxou o nível da partida para baixo . O Bahia cometeu mais falhas que de costume, sofreu muitos desarmes no campo de defesa e viu o Inter ficar com a maioria das segundas bolas. O Tricolor até manteve o estilo de posse de bola, mas esteve longe de replicar as boas atuações de outros momentos da temporada. O primeiro tempo acabou com 64% de posse e duas finalizações, nenhuma no gol. O time encaixou apenas um contra-ataque, mas viu Jean Lucas finalizar para fora. O medo de errar no primeiro tempo deu lugar à vontade de acertar no começo da segunda etapa. Foram seis finalizações certas do Bahia nos 45 minutos finais. A bola na rede veio na terceira tentativa, com Jean Lucas pisando dentro da área do Inter para aproveitar o rebote de Anthoni. A vantagem no placar seria uma arma com potencial de mudar a história do jogo, mas o Bahia sequer teve tempo de usar isso a seu favor . O empate do Inter veio na saída de jogo, dois minutos depois do Tricolor abrir o placar, após um bate e rebate que teve David Duarte afastando mal a bola. + Atuações do Bahia: David Duarte e Mingo vão mal em eliminação para o Internacional; dê sua nota No segundo gol do Inter, o zagueiro também erra na saída de bola, mas o lance ainda segue com marcação frouxa de Michel Araujo e depois com Ramos Mingo perdendo duelo aéreo para Borré. A virada do Inter veio sem muita pressão, em um momento de equilíbrio da partida, cenário que predominou durante os 90 minutos. O Bahia cai, portanto, na Libertadores com três derrotas nos últimos três jogos disputados. Para quem somou sete pontos nas primeiras partidas (e poderia ter nove não fosse um empate amargo para o Inter), fica a justa frustração pela queda de produção no final da campanha. Por outro lado, o desempenho em um grupo com três equipes com larga experiência na competição não pode ser desprezado. Fica a frustração, mas a sensação de que o time não fez feio. Longe disso. O desafio agora é saciar o desejo do torcedor tricolor que, sem dúvida, vai querer repetir a dose de Libertadores."
